Country Code,Variable code,Variable description,Units
AUT,BSIID,"Balance of primary income, value in USD, balance of payments basis",USD
AUT,BSIIQ,"Balance of primary income,  as a % of GDP, balance of payments basis",Ratio
AUT,CAPOG,"Net capital outlays of the government, value",National currency
AUT,CB,"Current account balance, value",National currency
AUT,CBD,"Current account balance, value in USD",USD
AUT,CBGDPR,"Current account balance, as a percentage of GDP",Per cent
AUT,CBR,"Current account balance, residual item",National currency
AUT,CBRD,"Current account balance, residual item, USD",USD
AUT,CFKG,"Government consumption of fixed capital, value",National currency
AUT,CG,"Government final consumption expenditure, value, GDP expenditure approach",National currency
AUT,CGAA,"Government final consumption expenditure, value, appropriation account",National currency
AUT,CGV,"Government final consumption expenditure, volume",National currency
AUT,CLF,"Employment coefficient, supply",Ratio
AUT,CP,"Private final consumption expenditure, value, GDP expenditure approach",National currency
AUT,CPAA,"Private final consumption expenditure, value, appropriation account",National currency
AUT,CPIDR,"Competitiveness indicator, relative consumer prices (CPI), overall weights",Index
AUT,CPIH,"Consumer price index, harmonised",Index
AUT,CPV,"Private final consumption expenditure, volume",National currency
AUT,CQ_FBGSV,"Net exports, contribution to growth in real GDP",Per cent
AUT,CQ_ISKV,"Change in inventories, contributions to growth in real GDP",Per cent
AUT,CTGSVD,"Contribution to world trade volume, goods and services expressed in USD, 2005 prices",Per cent
AUT,EE,"Dependent employment, total economy",Persons
AUT,EQPF,"Adjustment for the change in net equity of households in pension fund reserves, value",National currency
AUT,ES,Total self-employed,Persons
AUT,ET,Total employment,Persons
AUT,ET_NA,"Total employment, National Accounts basis",Persons
AUT,EXCH,"Exchange rate, USD per National currency",Level
AUT,EXCHEB,"Nominal effective exchange rate, chain-linked, overall weights",Level
AUT,EXCHUD,"Exchange rate, National currency per USD",Level
AUT,FBGS,"Net exports of goods and services, value, National Accounts basis",National currency
AUT,FBGSD,"Net exports of goods and services, value, National Accounts basis, USD",USD
AUT,FBGSQ,"Net exports of goods and services, as a % of GDP, national accounts basis",Ratio
AUT,FDD,"Final domestic expenditure, value",National currency
AUT,FDDV,"Final domestic expenditure, volume",National currency
AUT,GDP,"Gross domestic product, value, market prices",National currency
AUT,GDP_USD,"Gross domestic product, US $, current prices, constant exchange rates, EO base year",USD
AUT,GDPV,"Gross domestic product, volume, market prices",National currency
AUT,GDPV_USD,"Gross domestic product, US $, volume, constant exchange rates, EO base year",USD
AUT,GDPVD,"Gross domestic product, volume, at 2005 PPP, USD",USD
AUT,GFAR,"General government gross financial assets, as a percentage of GDP",Per cent
AUT,GGFL,"General government gross financial liabilities, value",National currency
AUT,GGFLM,"Gross public debt, Maastricht criterion, value",National currency
AUT,GGFLMQ,"Gross public debt, Maastricht criterion, as a percentage of GDP",Per cent
AUT,GGFLQ,"General government gross financial liabilities, as a percentage of GDP",Per cent
AUT,GGINTP,"Gross government interest payments, value",National currency
AUT,GGINTR,"Gross government interest receipts, value",National currency
AUT,GNFL,"General government net financial liabilities, value",National currency
AUT,GNFLQ,"General government net financial liabilities, as a percentage of GDP",Per cent
AUT,GNINTP,"Net government interest payments, value",National currency
AUT,GNINTQ,"Net government interest payments, as a percentage of GDP",Per cent
AUT,HRS,"Hours worked per employee, total economy",Hours
AUT,IBGV,"Private non-residential and government fixed capital formation, volume",National currency
AUT,IGAA,"Government fixed capital formation, value, appropriation account",National currency
AUT,IHV,"Gross fixed capital formation, housing, volume",National currency
AUT,IRL,Long-term interest rate on government bonds,Per cent
AUT,IRS,Short-term interest rate,Per cent
AUT,IT,"Gross fixed capital formation, total, value",National currency
AUT,ITISK,"Gross capital formation, current prices",National currency
AUT,ITISKV,"Gross capital formation, total, volume",National currency
AUT,ITV,"Gross fixed capital formation, total, volume",National currency
AUT,KTPV,"Productive capital stocks, volume",National currency
AUT,LF,Labour force,Persons
AUT,MGS,"Imports of goods and services, value, National Accounts basis",National currency
AUT,MGSD,"Imports of goods and services, value, National Accounts basis, USD",USD
AUT,MGSV,"Imports of goods and services, volume, National Accounts basis",National currency
